Agent_ID,Age,essential_worker,HouseID,WorkPlaceID,HospitalID,CemeteryID,Neighbourhood_ID
1,13,0,1008,619,1,1,11
2,41,0,10198,2084,3,1,100
3,57,0,17,1183,5,1,1
4,58,0,19844,2236,1,1,198
5,38,0,1349,1805,5,1,15
6,54,0,17668,1601,2,1,175
7,13,0,20570,1078,3,1,205
8,26,0,17483,1452,2,1,173
9,25,0,9054,776,5,1,90
10,20,0,7927,1785,4,1,78
11,24,0,2323,1413,1,1,23
12,20,0,24175,87,3,1,239
13,24,0,19391,570,3,1,193
14,53,0,3348,1899,5,1,33
15,3,0,11366,1774,4,1,113
16,23,0,903,1230,2,1,10
17,48,0,18637,759,3,1,185
18,1,0,15217,725,2,1,150
19,41,0,8540,1097,1,1,85
20,2,0,13627,2027,4,1,134
21,20,0,15614,1629,3,1,154
22,21,0,14483,1674,3,1,143
23,3,0,1118,1259,2,1,13
24,47,0,20089,271,5,1,200
25,32,0,23174,1536,4,1,229
26,59,0,16352,688,3,1,162
27,17,0,22490,1720,1,1,223
28,38,0,21781,1309,3,1,217
29,15,0,4359,155,4,1,43
30,24,0,14567,852,5,1,144
31,19,0,4586,1123,5,1,46
32,37,0,2056,1140,5,1,21
33,10,0,19122,247,4,1,190
34,2,0,2495,31,2,1,25
35,52,0,5707,386,2,1,56
36,61,0,16973,245,2,1,168
37,13,0,20296,1758,3,1,202
38,72,0,15577,2057,4,1,154
39,20,0,4706,203,5,1,47
40,27,0,24979,2260,1,1,247
41,87,0,13158,284,5,1,129
42,5,0,17801,1954,3,1,176
43,27,0,3528,900,1,1,35
44,32,0,3217,638,3,1,32
45,4,0,19271,1312,3,1,192
46,4,0,23761,2475,1,1,235
47,8,0,19506,159,5,1,194
48,30,0,18616,451,4,1,185
49,17,0,2529,882,1,1,25
50,2,0,603,701,3,1,7
51,28,0,20432,770,1,1,204
52,27,0,5007,1596,2,1,49
53,18,0,2584,177,5,1,26
54,36,0,13139,684,3,1,129
55,54,0,22865,1068,2,1,227
56,6,0,14783,2213,3,1,146
57,30,0,1631,832,5,1,18
58,88,0,15112,542,3,1,149
59,26,0,3371,221,5,1,34
60,20,0,15953,817,3,1,157
61,20,0,16822,1656,2,1,167
62,16,0,16570,1115,5,1,164
63,28,0,18806,423,4,1,187
64,41,0,17678,1728,3,1,175
65,26,0,6657,370,4,1,65
66,6,0,7496,1739,2,1,73
67,10,0,12551,599,3,1,123
68,45,0,7303,1766,4,1,71
69,18,0,20833,1338,3,1,208
70,38,0,24053,1672,1,1,238
71,54,0,21051,376,2,1,210
72,22,0,4717,1485,3,1,47
73,28,0,16067,1531,3,1,158
74,69,0,15145,1629,3,1,150
75,22,0,2440,31,4,1,24
76,73,0,12443,2070,1,1,122
77,11,0,21520,1200,3,1,215
78,34,0,1620,337,4,1,18
79,20,0,19921,2200,1,1,199
80,29,0,919,974,3,1,11
81,18,0,4944,1306,2,1,49
82,43,0,17288,1358,3,1,172
83,17,0,23831,1288,4,1,236
84,37,0,3031,1727,5,1,30
85,20,0,18276,797,2,1,181
86,54,0,14611,547,1,1,144
87,21,0,9019,327,2,1,90
88,66,0,17990,699,3,1,178
89,32,0,24781,348,1,1,245
90,10,0,14150,923,2,1,139
91,37,0,10810,1960,3,1,108
92,31,0,9185,1354,1,1,91
93,51,0,5474,2005,4,1,54
94,49,0,20339,1959,5,1,203
95,14,0,13011,651,5,1,128
96,4,0,15598,1525,5,1,154
97,20,0,8014,1773,4,1,79
98,30,0,17234,1173,5,1,171
99,27,0,11987,1655,3,1,119
100,11,0,16784,1040,3,1,166
101,9,0,13255,1812,2,1,130
102,13,0,5030,812,4,1,50
103,30,0,12289,1623,3,1,121
104,54,0,7445,466,3,1,73
105,36,0,20108,1186,5,1,200
106,61,0,8285,1271,5,1,83
107,38,0,13248,1949,1,1,130
108,10,0,13150,2429,1,1,129
109,29,0,1755,2002,2,1,19
110,6,0,23127,1475,3,1,229
111,8,0,11770,1341,3,1,117
112,29,0,18124,1031,2,1,180
113,41,0,16447,2243,3,1,163
114,21,0,1736,203,4,1,19
115,20,0,769,2239,2,1,9
116,28,0,21340,1183,2,1,213
117,33,0,13108,2113,1,1,129
118,65,0,5051,1401,4,1,50
119,24,0,15983,2231,2,1,157
120,22,0,14299,913,2,1,141
121,61,0,3297,62,2,1,33
122,42,0,504,2496,5,1,6
123,15,0,253,754,1,1,3
124,19,0,11116,757,1,1,110
125,19,0,1284,1073,5,1,15
126,22,0,11112,1941,5,1,110
127,23,0,23420,2136,3,1,231
128,21,0,21895,2359,1,1,218
129,18,0,3215,2352,5,1,32
130,31,0,14888,1075,3,1,147
131,31,0,1850,750,2,1,19
132,55,0,15954,1806,4,1,157
133,25,0,20735,230,1,1,207
134,12,0,6247,527,1,1,62
135,19,0,6268,706,1,1,62
136,2,0,6803,1567,1,1,67
137,33,0,18471,1538,4,1,184
138,12,0,24509,184,5,1,243
139,68,0,10818,2086,5,1,108
140,34,0,24306,2238,1,1,240
141,53,0,19712,872,2,1,197
142,9,0,4895,2342,1,1,48
143,13,0,24250,2071,3,1,240
144,27,0,6661,1351,3,1,65
145,32,0,9326,2388,1,1,92
146,21,0,14373,244,2,1,142
147,43,0,168,1854,5,1,2
148,23,0,19793,2193,1,1,198
149,53,0,2292,133,4,1,23
150,3,0,21322,2367,4,1,213
151,17,0,8171,401,2,1,82
152,32,0,23585,2477,5,1,233
153,8,0,6975,876,1,1,68
154,16,0,5426,403,2,1,53
155,25,0,20434,1057,4,1,204
156,7,0,18462,1930,3,1,183
157,27,0,11116,482,2,1,110
158,8,0,9569,1551,2,1,94
159,23,0,212,1682,4,1,3
160,46,0,16516,1404,5,1,163
161,2,0,8245,1763,1,1,82
162,5,0,4015,2036,5,1,40
163,14,0,205,945,4,1,3
164,15,0,16021,1493,2,1,158
165,48,0,19666,254,1,1,196
166,16,0,20815,1800,3,1,207
167,7,0,9934,238,1,1,98
168,46,0,1725,1932,2,1,19
169,23,0,19979,1670,1,1,200
170,53,0,6088,158,3,1,60
171,22,0,17844,1582,5,1,177
172,15,0,19956,597,4,1,199
173,47,0,538,244,2,1,6
174,13,0,15404,1149,3,1,152
175,35,0,3066,1331,3,1,31
176,38,0,16803,1631,3,1,167
177,50,0,23175,531,5,1,229
178,18,0,18634,568,3,1,185
179,21,0,16566,1401,5,1,164
180,2,0,9845,35,5,1,97
181,31,0,11844,680,1,1,117
182,39,0,10373,1949,2,1,103
183,1,0,18691,2459,4,1,186
184,31,0,20434,1529,2,1,204
185,10,0,7261,2141,2,1,71
186,8,0,5493,1027,3,1,54
187,18,0,17904,411,1,1,177
188,43,0,7238,870,5,1,71
189,26,0,12230,1449,5,1,120
190,49,0,17319,1426,3,1,172
191,15,0,9906,199,2,1,97
192,14,0,16500,1790,5,1,163
193,37,0,17966,2175,1,1,178
194,3,0,10753,1520,2,1,107
195,31,0,23585,512,3,1,233
196,37,0,7975,2038,5,1,79
197,30,0,4495,853,3,1,44
198,22,0,11955,1260,2,1,119
199,56,0,23801,1455,1,1,235
200,85,0,2487,1964,5,1,25
201,42,0,21237,1365,1,1,212
202,31,0,12090,1,1,1,119
203,38,0,18811,1721,4,1,187
204,38,0,21365,1066,3,1,213
205,21,0,3244,479,3,1,32
206,20,0,21934,818,2,1,218
207,12,0,3789,90,2,1,37
208,17,0,8505,1752,1,1,85
209,67,0,7916,1262,4,1,78
210,10,0,16572,2292,1,1,164
211,15,0,13736,2451,2,1,135
212,26,0,20425,551,4,1,204
213,18,0,11979,505,1,1,119
214,36,0,1393,763,5,1,15
215,12,0,8116,98,5,1,81
216,4,0,22918,111,1,1,227
217,32,0,1474,1590,5,1,16
218,12,0,17754,1375,3,1,176
219,47,0,13742,1358,4,1,135
220,7,0,23691,69,5,1,234
221,49,0,16353,2065,4,1,162
222,31,0,3553,1249,3,1,35
223,9,0,1936,796,4,1,20
224,9,0,20001,752,2,1,200
225,51,0,10023,599,4,1,99
226,23,0,18464,470,1,1,183
227,13,0,7501,391,3,1,73
228,33,0,6413,1770,5,1,63
229,41,0,2997,2245,3,1,30
230,54,0,6132,1825,3,1,60
231,26,0,20098,609,5,1,200
232,56,0,4123,159,5,1,41
233,8,0,7067,996,2,1,69
234,0,0,14263,969,1,1,141
235,32,0,23138,214,3,1,229
236,42,0,2079,721,1,1,21
237,24,0,22319,1352,3,1,221
238,38,0,23459,454,3,1,232
239,98,0,3077,650,3,1,31
240,11,0,5384,197,3,1,53
241,29,0,20454,617,3,1,204
242,10,0,11943,1420,4,1,119
243,37,0,21088,1675,2,1,210
244,22,0,21973,2416,1,1,218
245,44,0,24660,1759,4,1,244
246,37,0,17699,1534,2,1,175
247,50,0,20382,1119,1,1,203
248,57,0,6453,1604,5,1,64
249,45,0,23822,167,2,1,236
250,15,0,187,1703,1,1,3
251,21,0,8262,122,4,1,82
252,27,0,2755,2292,5,1,27
253,21,0,9610,1214,1,1,95
