Agent_ID,Age,essential_worker,HouseID,WorkPlaceID,HospitalID,CemeteryID,Neighbourhood_ID
1,48,0,83,40,1,1,1
2,32,0,627,97,2,1,6
3,54,0,1023,76,2,1,10
4,45,0,2107,55,1,1,21
5,58,0,226,95,2,1,3
6,26,0,252,32,1,1,3
7,25,0,1730,100,2,1,17
8,28,0,1728,210,1,1,17
9,4,0,1801,39,1,1,18
10,34,0,1430,192,1,1,15
11,14,0,847,88,1,1,8
12,47,0,1850,105,1,1,19
13,19,0,950,217,1,1,10
14,1,0,2450,223,2,1,24
15,26,0,406,77,1,1,4
16,12,0,1631,36,2,1,16
17,61,0,1523,174,2,1,16
18,28,0,1754,161,1,1,18
19,19,0,947,152,2,1,10
20,38,0,2139,32,1,1,22
21,39,0,568,47,1,1,6
22,41,0,2392,118,2,1,24
23,23,0,1434,41,2,1,15
24,55,0,1255,203,2,1,13
25,17,0,1549,218,2,1,16
26,63,0,1058,154,2,1,11
27,29,0,2474,181,2,1,24
28,36,0,1060,125,2,1,11
29,23,0,981,68,1,1,10
30,40,0,2413,80,2,1,24
31,34,0,381,226,2,1,4
32,64,0,229,238,1,1,3
33,1,0,2262,178,2,1,23
34,11,0,708,32,2,1,7
35,41,0,1572,171,2,1,16
36,21,0,183,206,1,1,2
37,21,0,931,180,2,1,9
38,29,0,1030,90,2,1,10
39,69,0,1210,3,2,1,12
40,49,0,1753,207,2,1,18
41,39,0,212,79,1,1,2
42,3,0,1431,59,1,1,15
43,34,0,269,19,1,1,3
44,44,0,1255,91,2,1,13
45,12,0,446,198,1,1,5
46,24,0,27,217,2,1,1
47,22,0,1961,31,2,1,20
48,2,0,172,15,2,1,2
49,59,0,1946,202,1,1,20
50,1,0,1179,13,2,1,12
51,61,0,753,43,1,1,7
52,8,0,1507,111,1,1,15
53,0,0,1248,19,2,1,13
54,44,0,2289,106,1,1,23
55,12,0,2144,206,2,1,22
56,39,0,2054,137,2,1,21
57,44,0,886,172,2,1,9
58,30,0,1362,110,2,1,14
59,28,0,1591,107,2,1,16
60,27,0,1460,103,1,1,15
61,20,0,2188,36,1,1,22
62,1,0,2380,27,1,1,24
63,48,0,1239,130,1,1,12
64,34,0,1282,182,2,1,13
65,54,0,1650,32,2,1,17
66,8,0,1911,189,2,1,19
67,15,0,2471,61,2,1,24
68,55,0,724,118,1,1,7
69,22,0,1866,78,1,1,19
70,39,0,2032,42,1,1,21
71,11,0,1387,227,2,1,14
72,59,0,1244,87,1,1,12
73,54,0,510,210,1,1,5
74,20,0,2170,99,1,1,22
75,10,0,2071,187,2,1,21
76,39,0,1440,34,1,1,15
77,39,0,2404,136,1,1,24
78,64,0,2050,114,1,1,21
79,19,0,1952,4,1,1,20
80,27,0,2243,64,1,1,23
81,35,0,2489,78,1,1,25
82,23,0,1391,93,2,1,14
83,24,0,1790,193,2,1,18
84,22,0,1170,89,2,1,12
85,74,0,2145,41,1,1,22
86,7,0,496,172,1,1,5
87,7,0,2496,140,2,1,25
88,12,0,1977,150,1,1,20
89,26,0,2385,127,1,1,24
90,32,0,1895,170,2,1,19
91,5,0,228,21,2,1,3
92,19,0,153,243,2,1,2
93,26,0,602,164,2,1,6
94,38,0,394,112,2,1,4
95,31,0,229,71,1,1,3
96,59,0,942,247,2,1,10
97,32,0,436,134,1,1,5
98,11,0,1405,77,2,1,14
99,43,0,1270,128,2,1,13
100,49,0,2064,96,2,1,21
101,58,0,2439,12,2,1,24
102,28,0,2157,192,1,1,22
103,43,0,795,24,2,1,8
104,22,0,1684,63,2,1,17
105,29,0,514,209,1,1,5
106,56,0,2218,166,2,1,22
