Agent_ID,Age,PublicTransport_Jobs,essential_worker,Adherence_to_Intervention,AdminUnitName,H_Lat,H_Lon,HID,school_id,WorkPlaceID,Hospital ID
1,30,0,0,1.0,some_village,0.94752973,0.27332932,777,0,22,2
2,79,0,0,0.6,some_village,0.34873164,0.6822077,879,0,11,11
3,24,0,0,0.5,some_village,0.5198353,0.15157777,2381,30,0,5
4,24,0,0,0.3,some_village,0.91510963,0.0055328608,1723,42,0,9
5,36,0,0,0.5,some_village,0.59849733,0.3008905,144,0,18,12
6,68,0,0,0.2,some_village,0.3525594,0.47274774,1758,0,34,3
7,85,0,0,0.4,some_village,0.74011964,0.81609213,1024,0,6,15
8,65,1,0,0.6,some_village,0.43299788,0.36812276,1613,0,18,2
9,21,0,0,0.5,some_village,0.96100914,0.78588074,2476,17,0,5
10,35,0,0,0.3,some_village,0.581609,0.015682101,1852,0,34,19
11,93,0,0,1.0,some_village,0.3877194,0.49685186,401,0,4,12
12,75,0,1,0.9,some_village,0.37201405,0.9423259,1572,0,5,8
13,1,1,0,0.8,some_village,0.76065737,0.046651423,983,42,0,11
14,32,1,0,1.0,some_village,0.49417758,0.9848846,987,0,45,19
15,89,0,0,1.0,some_village,0.9336903,0.26696086,2455,0,21,6
16,97,0,0,1.0,some_village,0.9818555,0.3670166,1162,0,50,12
17,91,0,0,0.0,some_village,0.40343118,0.403081,1886,0,43,19
18,10,0,0,0.5,some_village,0.7276015,0.37110168,1867,8,0,17
19,65,1,0,0.2,some_village,0.3324231,0.3086242,697,0,2,2
20,47,0,0,0.1,some_village,0.81781775,0.3975339,1130,0,7,15
21,37,0,0,0.2,some_village,0.8177294,0.039730966,121,0,33,8
22,95,0,0,0.6,some_village,0.10964519,0.7529354,1023,0,37,15
23,65,0,0,0.4,some_village,0.69899607,0.37658542,1619,0,13,8
24,98,0,0,0.4,some_village,0.9375716,0.04070455,561,0,44,19
25,81,1,0,0.1,some_village,0.5668591,0.035548568,951,0,3,20
26,61,0,0,0.2,some_village,0.20143741,0.25228882,301,0,21,20
27,63,0,0,0.9,some_village,0.9406549,0.51926583,637,0,50,7
28,99,0,0,0.2,some_village,0.34918958,0.22124857,1748,0,29,18
29,78,1,0,0.9,some_village,0.89454347,0.4613589,1388,0,36,4
30,40,0,0,0.6,some_village,0.56168497,0.04453975,1835,0,46,11
31,31,1,0,0.4,some_village,0.05190897,0.3658992,2069,0,16,2
32,31,1,0,0.6,some_village,0.94369924,0.39563286,575,0,7,11
33,61,0,0,0.8,some_village,0.009860516,0.8293978,2124,0,13,13
34,2,0,0,0.6,some_village,0.03869307,0.6500588,563,43,0,4
35,60,0,0,0.6,some_village,0.6911261,0.5987011,381,0,40,14
36,82,0,0,0.1,some_village,0.9370613,0.3094284,151,0,35,7
37,81,0,0,0.6,some_village,0.78900373,0.56652087,2046,0,47,12
38,46,0,0,0.4,some_village,0.16012526,0.019168794,1585,0,3,4
39,89,1,0,0.1,some_village,0.25785965,0.32671356,1577,0,39,13
40,16,0,0,0.1,some_village,0.50507194,0.2729349,1758,8,0,4
41,44,0,0,0.6,some_village,0.5444572,0.41081434,1491,0,32,16
42,34,0,0,0.8,some_village,0.59698224,0.75790215,1858,0,10,4
43,58,0,0,0.6,some_village,0.19594985,0.5626448,1239,0,16,20
44,16,1,0,0.8,some_village,0.16463447,0.2732479,1721,30,0,2
45,15,0,0,0.4,some_village,0.8324375,0.83018494,1406,46,0,17
46,90,1,0,0.6,some_village,0.21369171,0.052764237,1344,0,22,16
47,96,0,0,0.7,some_village,0.6230949,0.19830835,2217,0,3,18
48,81,1,0,0.4,some_village,0.5348109,0.8478948,1468,0,1,16
49,90,0,0,0.6,some_village,0.59324026,0.10258454,1067,0,6,16
50,3,0,0,0.5,some_village,0.97848225,0.65998375,1774,20,0,12
51,61,0,0,0.6,some_village,0.23181129,0.8678713,1704,0,31,10
52,48,0,0,0.3,some_village,0.7866425,0.10142285,903,0,50,14
53,11,0,0,0.6,some_village,0.8521836,0.32381123,1005,24,0,11
54,82,0,0,0.6,some_village,0.7921109,0.8993344,1674,0,47,17
55,22,0,0,0.5,some_village,0.3892765,0.5169579,365,38,0,1
