Agent_ID,Age,essential_worker,HouseID,WorkPlaceID,HospitalID
1,17,0,1617,126,2
2,38,0,476,48,2
3,90,0,28,76,1
4,97,0,1448,210,1
5,20,0,2250,42,2
6,35,0,2028,224,2
7,96,0,1200,45,1
8,77,0,325,200,2
9,41,0,523,195,1
10,46,0,1049,153,2
11,36,0,1817,214,1
12,98,0,900,103,2
13,1,0,1712,105,1
14,33,0,2304,77,2
15,96,0,884,17,1
16,48,0,2279,41,2
17,86,0,462,212,2
18,48,0,1422,116,2
19,23,0,1261,117,1
20,48,0,277,30,1
21,6,0,1310,149,1
22,63,0,823,61,1
23,16,0,2453,59,2
24,79,0,572,47,1
25,47,0,347,77,1
26,27,1,307,0,1
27,98,0,2241,135,1
28,18,0,1358,99,1
29,24,0,1222,31,1
30,30,0,1161,236,1
31,4,0,2452,98,1
32,77,0,83,17,1
33,64,1,1213,0,2
34,97,0,763,68,1
35,12,0,618,7,1
36,79,0,720,49,2
37,55,0,870,155,1
38,18,0,1040,181,1
39,67,0,848,191,2
40,39,0,1571,155,2
41,82,0,951,152,2
42,73,0,211,192,2
43,55,0,340,187,2
44,4,0,2490,157,2
45,50,0,95,147,2
46,24,0,612,107,1
47,90,0,2067,185,2
48,6,0,2480,134,1
49,93,0,716,2,1
50,37,0,563,162,2
51,71,0,441,13,2
52,90,0,1506,160,2
53,34,0,2396,82,2
54,32,0,2198,153,2
55,83,0,1538,163,1
56,48,0,107,81,2
57,75,0,2378,54,1
58,13,0,887,189,1
59,18,0,353,64,2
60,44,0,1982,21,2
61,47,0,468,91,1
62,5,0,226,106,2
63,38,0,1923,128,2
64,12,0,1434,32,2
65,80,0,1381,157,1
66,45,0,492,45,2
67,18,0,759,48,2
68,36,0,1720,88,1
69,62,0,2444,234,1
70,44,0,572,82,1
71,48,0,2016,157,2
72,15,0,1331,160,2
73,41,0,2403,222,2
74,12,0,704,110,1
75,55,0,2356,227,1
76,44,0,1399,84,2
77,78,0,596,28,2
78,57,0,716,77,2
79,24,0,1993,45,2
80,1,0,1924,11,1
81,77,0,1761,58,1
82,31,0,1629,148,1
83,83,0,191,170,2
84,69,0,2354,87,2
85,87,0,2235,5,1
86,32,0,1806,183,1
87,86,0,1296,45,2
88,86,0,1264,54,1
89,97,0,366,128,2
90,86,0,446,203,2
91,76,0,281,235,1
92,82,0,2160,236,2
93,70,0,2390,152,2
94,8,0,807,4,2
95,30,0,1382,73,1
96,78,0,1131,110,1
97,71,0,1308,42,2
98,17,0,1447,239,1
99,57,0,1602,146,1
100,61,0,2126,183,1
101,18,0,2248,154,2
102,54,0,701,32,2
103,65,0,2354,76,2
104,76,0,986,29,2
105,17,0,2048,236,2
106,16,0,2336,68,1
107,22,0,689,58,1
108,28,0,1057,12,2
109,55,0,2158,102,1
110,30,0,2338,239,1
111,6,0,1126,82,1
112,21,0,559,168,1
113,78,0,2398,171,2
114,42,0,46,6,2
115,64,0,2099,160,1
116,84,0,798,39,2
117,9,0,2284,89,1
118,20,0,477,85,2
119,57,0,2119,24,2
120,1,0,564,28,1
121,27,0,1481,147,2
122,4,0,2203,185,1
123,74,0,2344,87,2
124,28,0,656,148,1
125,89,0,1058,222,2
126,0,0,2422,182,2
127,7,0,317,202,2
128,99,0,892,211,2
129,23,0,1718,127,1
130,38,0,1153,113,2
131,92,0,300,156,2
132,22,0,1326,111,1
133,37,0,955,194,1
134,13,0,2414,190,2
135,27,0,1023,99,2
136,85,0,1523,11,2
137,22,0,2116,195,2
138,72,0,1203,50,2
139,47,0,1702,58,2
140,12,0,2158,76,2
141,4,0,104,64,2
142,92,0,1103,146,2
143,69,0,1990,39,1
144,61,0,1741,174,2
145,72,0,1828,68,2
146,70,0,1665,88,2
147,33,0,1390,126,1
148,71,0,2100,55,1
149,95,0,1420,133,1
150,33,0,791,148,1
151,73,0,1705,107,1
152,24,0,2186,58,1
153,74,0,54,126,2
154,83,0,2307,112,2
155,36,0,866,36,1
156,63,0,1894,4,1
157,92,0,485,92,2
158,68,0,541,121,2
159,20,0,2350,243,2
160,70,0,1030,202,1
161,98,0,114,60,2
162,68,0,821,140,1
163,92,0,1424,46,2
164,24,0,2258,215,1
165,94,0,1684,98,2
166,40,0,1852,229,1
167,93,0,594,26,1
168,66,0,286,233,2
169,31,0,1295,35,2
170,57,0,2296,177,2
171,31,0,1456,99,1
172,53,0,1210,244,1
173,29,0,804,35,1
174,31,0,1587,189,2
175,40,0,1592,13,1
176,30,0,829,21,1
177,90,0,814,150,2
178,58,0,1239,140,2
179,95,0,1500,205,1
180,0,0,220,80,1
181,42,0,2027,194,2
182,27,0,1719,163,2
183,94,0,194,135,2
184,0,0,2019,169,1
185,53,0,642,2,1
186,42,0,477,87,2
187,87,0,1278,248,2
188,27,0,727,221,2
189,48,0,34,75,2
190,4,0,1553,188,2
191,89,0,565,45,2
192,37,0,1184,145,1
193,35,0,1412,202,1
194,22,0,1796,167,1
195,84,0,438,161,1
196,46,0,15,152,2
197,19,0,772,99,2
198,40,0,1026,117,2
199,36,0,728,242,1
200,4,0,1884,136,1
201,36,0,372,139,1
202,26,0,1356,129,1
203,13,0,1566,244,2
204,15,0,908,182,1
205,75,0,1914,78,1
206,5,0,112,152,2
207,0,0,101,35,2
208,35,0,151,164,2
209,49,0,1085,8,1
210,38,0,495,79,1
211,46,0,48,172,1
212,56,0,687,201,2
213,73,0,1784,39,2
214,69,0,69,27,1
215,75,0,809,108,1
216,72,0,1066,32,2
217,65,0,1368,134,1
218,50,0,2470,199,2
219,67,0,2240,38,1
220,50,0,2194,62,2
221,32,0,2229,91,2
222,45,0,2332,80,1
223,76,0,2407,87,1
224,96,0,399,224,2
225,48,0,673,25,2
226,29,0,2074,91,2
227,29,0,896,181,1
228,85,0,1003,234,1
229,24,0,2466,173,1
230,0,0,2361,237,1
231,67,0,2257,59,1
232,31,0,244,248,1
233,70,0,2264,124,1
234,44,0,38,1,1
235,70,0,365,22,1
236,45,0,841,103,2
237,46,0,2199,26,2
238,89,0,2217,140,2
239,56,0,2224,106,2
240,36,0,2208,156,1
241,0,0,1192,195,1
242,67,0,933,243,1
243,49,0,1978,148,2
244,41,0,1836,74,2
245,93,0,1936,221,1
246,75,0,654,107,1
247,40,0,2387,80,2
248,81,0,1355,120,1
249,53,0,1249,27,2
250,10,0,1726,23,1
251,35,0,1485,180,1
252,43,0,2432,176,1
253,81,0,820,123,1
254,15,0,1546,236,1
255,46,0,447,194,1
256,32,0,2306,48,2
257,5,0,1037,240,2
258,56,0,1394,216,1
259,30,0,1555,137,1
260,41,0,398,124,2
261,66,0,2399,7,1
262,73,0,968,61,1
263,34,0,2416,92,2
264,6,0,2023,72,1
265,65,0,1098,85,2
266,86,0,1414,169,2
267,41,0,2204,184,1
268,67,0,692,9,2
269,65,0,1227,182,2
270,9,0,1056,121,1
271,1,0,349,129,1
272,18,0,580,228,2
273,95,0,1524,182,2
274,64,0,2235,64,1
275,88,0,2291,108,2
276,7,0,388,93,2
277,57,0,2190,235,2
278,46,0,642,99,2
279,86,0,2311,182,2
280,86,0,1848,216,2
281,14,0,2185,208,1
282,98,0,887,144,2
283,48,0,2197,10,1
284,43,0,525,90,2
285,54,0,1620,107,1
286,53,0,2454,153,2
287,33,0,730,110,2
288,8,0,610,184,2
289,31,0,307,31,1
290,12,0,2020,244,2
291,43,0,673,173,2
292,9,0,759,238,2
293,53,0,2079,9,1
294,70,0,540,70,2
295,99,0,1429,174,2
296,21,0,13,176,1
297,16,0,2446,126,1
298,65,0,881,218,1
299,88,0,1320,178,2
300,27,0,1150,180,1
301,88,0,1693,226,1
302,85,0,813,158,2
303,74,0,1869,193,2
304,37,0,1038,244,1
305,64,0,2052,178,1
306,50,0,2222,37,2
307,88,0,2422,221,1
308,89,0,390,247,2
309,86,0,338,18,2
310,9,0,2020,205,2
311,52,0,394,12,1
312,24,0,2046,201,2
313,71,0,2227,70,2
314,55,0,1896,105,2
315,13,0,1891,113,2
316,97,0,2116,5,1
317,64,0,987,196,1
318,16,0,1725,95,1
319,53,0,1447,202,2
320,49,0,1770,105,1
321,73,0,979,103,2
322,72,0,925,74,1
323,54,0,290,19,1
324,17,0,1178,129,1
325,16,0,1416,76,1
326,48,0,420,119,1
327,43,0,1797,232,2
328,25,0,1752,201,1
329,47,0,2409,8,1
330,28,0,919,52,2
331,11,0,728,214,1
332,66,0,18,39,2
333,25,0,2153,32,2
334,66,0,1257,163,2
335,80,0,2320,17,1
336,12,0,1842,230,1
337,56,0,457,102,1
338,45,0,2365,171,1
339,24,1,884,0,2
340,34,0,253,243,1
341,3,0,476,73,1
342,45,0,2266,28,1
343,96,0,1132,115,2
344,32,0,235,191,1
345,55,0,330,47,1
346,25,0,1822,230,1
347,0,0,963,155,2
348,89,0,1496,117,2
349,98,0,867,217,2
350,11,0,1608,146,2
351,33,0,614,3,1
352,30,0,1387,148,2
353,87,0,2025,118,2
354,60,0,621,173,2
355,30,0,1725,177,2
356,23,0,2115,177,1
357,26,0,2024,29,1
358,9,1,851,0,2
359,60,0,1366,150,2
360,17,0,614,55,2
361,46,0,2469,152,1
362,34,0,2270,233,2
363,69,0,1765,48,2
364,20,0,917,115,1
365,9,0,320,22,1
366,24,0,1900,176,2
367,68,0,1524,112,1
368,13,0,746,141,1
369,2,0,2453,18,1
370,98,0,605,184,2
371,56,0,1844,102,2
372,99,0,460,28,2
373,13,0,2331,245,2
374,88,0,1797,107,1
375,87,0,2180,188,2
376,16,0,2290,58,2
377,95,0,2256,8,1
