,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
0,1.0,99864.0,107.0,13.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
1,2.0,99807.0,109.0,43.0,14.0,0.0,27.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,5.0,5.0
2,3.0,99734.0,121.0,64.0,38.0,1.0,42.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,5.0,5.0
3,4.0,99664.0,128.0,72.0,73.0,1.0,62.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,5.0,5.0
4,5.0,99582.0,149.0,76.0,105.0,1.0,87.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,5.0,5.0
5,6.0,99499.0,156.0,99.0,134.0,1.0,111.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,5.0,5.0
6,7.0,99397.0,169.0,117.0,170.0,2.0,145.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,5.0,5.0
7,8.0,99277.0,195.0,132.0,206.0,2.0,188.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,5.0,5.0
8,9.0,99147.0,205.0,148.0,251.0,2.0,247.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,765.0,61.8465843842649
9,10.0,99004.0,226.0,170.0,293.0,3.0,304.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,54.757659385991,3.14574533840546
10,11.0,98822.0,279.0,180.0,350.0,2.0,366.0,1.0,0.0,0.0,0.0,161.0,0.0,0.0,17.094620852725,0.774631212644123
11,12.0,98645.0,297.0,202.0,414.0,4.0,437.0,1.0,0.0,0.0,0.0,152.0,0.0,0.0,9.53579349298714,0.361713264437944
12,13.0,98427.0,335.0,250.0,452.0,3.0,530.0,3.0,0.0,0.0,0.0,188.0,0.0,0.0,6.52755263348987,0.214973497289445
13,14.0,98184.0,391.0,274.0,525.0,4.0,619.0,3.0,0.0,0.0,0.0,208.0,0.0,0.0,4.99304055367786,0.145910533666707
14,15.0,97861.0,465.0,353.0,608.0,6.0,704.0,1.0,2.0,2.0,152.0,287.0,50.66666666666667,0.0,4.02381240424526,0.106818512859949
15,16.0,97486.0,545.0,418.0,698.0,12.0,838.0,1.0,2.0,0.0,150.0,328.0,50.0,0.0,3.10988910830001,0.0792988219571963
16,17.0,96975.0,659.0,548.0,817.0,14.0,982.0,3.0,2.0,0.0,184.0,460.0,61.33333333333333,0.0,2.54165862755947,0.062401355929571
17,18.0,96342.0,797.0,679.0,982.0,21.0,1173.0,4.0,2.0,0.0,208.0,563.0,69.33333333333334,1.5037593984962405,2.13421265802931,0.0512227429467045
18,19.0,95667.0,929.0,775.0,1193.0,24.0,1405.0,5.0,2.0,0.0,227.0,592.0,75.66666666666667,0.0,1.8644145974599,0.0438473429787384
19,20.0,94882.0,1102.0,906.0,1408.0,28.0,1666.0,6.0,2.0,0.0,249.0,692.0,83.0,0.0,1.66112155467532,0.038578607596457
20,21.0,93897.0,1280.0,1078.0,1700.0,32.0,2001.0,10.0,2.0,0.0,248.0,860.0,82.66666666666667,0.4975124378109453,1.49597705846491,0.034594266776813
21,22.0,92850.0,1512.0,1208.0,2016.0,39.0,2361.0,10.0,4.0,2.0,271.0,918.0,90.33333333333331,0.45662100456621,1.38810513715066,0.0318453158728916
22,23.0,91580.0,1714.0,1488.0,2339.0,48.0,2811.0,16.0,4.0,0.0,271.0,1096.0,90.33333333333331,0.41841004184100417,1.29214690945999,0.0296360852063533
23,24.0,90254.0,1922.0,1661.0,2752.0,47.0,3342.0,18.0,4.0,0.0,261.0,1140.0,87.0,0.423728813559322,1.22939134072728,0.0280861620606685
24,25.0,88688.0,2260.0,1899.0,3184.0,58.0,3890.0,16.0,5.0,1.0,280.0,1394.0,93.33333333333331,0.390625,1.18755068078009,0.0269828203955848
25,26.0,87015.0,2565.0,2069.0,3681.0,64.0,4580.0,21.0,5.0,0.0,273.0,1453.0,91.0,0.39370078740157477,1.14605815412175,0.0260266187837881
26,27.0,85247.0,2813.0,2209.0,4247.0,75.0,5374.0,30.0,5.0,0.0,265.0,1559.0,88.33333333333333,0.823045267489712,1.11129667473776,0.0252502222144844
27,28.0,83359.0,3052.0,2381.0,4794.0,88.0,6289.0,32.0,5.0,0.0,278.0,1636.0,92.66666666666666,0.0,1.09648480104525,0.0247860432537224
28,29.0,81278.0,3383.0,2611.0,5358.0,93.0,7236.0,36.0,5.0,0.0,272.0,1828.0,90.66666666666666,0.0,1.07648067872314,0.0243276352405333
29,30.0,79099.0,3707.0,2833.0,5938.0,98.0,8276.0,44.0,5.0,0.0,286.0,1906.0,95.33333333333334,0.0,1.06619885581621,0.0240217752331543
30,31.0,76855.0,4022.0,2982.0,6542.0,116.0,9432.0,45.0,6.0,1.0,282.0,1990.0,94.0,0.4166666666666667,1.05038747486372,0.0236896027275878
31,32.0,74432.0,4337.0,3142.0,7173.0,117.0,10738.0,54.0,7.0,1.0,282.0,2136.0,94.0,0.8403361344537815,1.04024057411183,0.0234488334606414
