,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
0,1.0,99874.0,93.0,20.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
1,2.0,99830.0,82.0,37.0,17.0,0.0,34.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,5.0,5.0
2,3.0,99784.0,86.0,46.0,34.0,1.0,49.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,5.0,5.0
3,4.0,99737.0,94.0,54.0,53.0,0.0,62.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,5.0,5.0
4,5.0,99693.0,99.0,55.0,71.0,0.0,82.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,5.0,5.0
5,6.0,99611.0,111.0,78.0,98.0,2.0,100.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,5.0,5.0
6,7.0,99514.0,134.0,93.0,122.0,3.0,134.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,5.0,5.0
7,8.0,99450.0,142.0,98.0,143.0,3.0,164.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,5.0,5.0
8,9.0,99369.0,155.0,111.0,162.0,3.0,200.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,5.0,5.0
9,10.0,99266.0,172.0,116.0,197.0,2.0,246.0,1.0,0.0,0.0,0.0,95.0,0.0,0.0,5.0,5.0
10,11.0,99143.0,195.0,137.0,233.0,3.0,288.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,670.0,57.8791845139511
11,12.0,99015.0,216.0,158.0,264.0,1.0,344.0,2.0,0.0,0.0,0.0,113.0,0.0,0.0,55.8890129734805,3.3887691735467
12,13.0,98875.0,238.0,170.0,311.0,2.0,402.0,2.0,0.0,0.0,0.0,129.0,0.0,0.0,16.5546611183627,0.81068524282538
13,14.0,98696.0,277.0,188.0,368.0,5.0,464.0,2.0,0.0,0.0,0.0,163.0,0.0,0.0,7.98332236209351,0.352472292849126
14,15.0,98537.0,287.0,213.0,418.0,7.0,536.0,2.0,0.0,0.0,0.0,134.0,0.0,0.0,5.12875492776343,0.206643424882505
15,16.0,98345.0,312.0,236.0,475.0,11.0,618.0,3.0,0.0,0.0,0.0,167.0,0.0,0.0,3.80608974872885,0.142639243891729
16,17.0,98123.0,349.0,259.0,531.0,12.0,723.0,3.0,0.0,0.0,133.0,187.0,44.333333333333336,0.0,3.19666585367935,0.110426989563065
17,18.0,97816.0,416.0,322.0,610.0,14.0,820.0,2.0,0.0,0.0,138.0,278.0,46.0,0.0,2.49497374043498,0.085176999077597
18,19.0,97469.0,464.0,386.0,705.0,12.0,960.0,4.0,0.0,0.0,145.0,309.0,48.333333333333336,0.0,1.99575452442137,0.0681736758853474
19,20.0,97111.0,543.0,438.0,786.0,16.0,1101.0,5.0,0.0,0.0,96.0,318.0,32.0,0.0,1.64696435478101,0.0568934395838752
