,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
0,1.0,99871.0,94.0,19.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
1,2.0,99815.0,102.0,43.0,17.0,0.0,23.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,5.0,5.0
2,3.0,99748.0,109.0,62.0,38.0,0.0,43.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,5.0,5.0
3,4.0,99688.0,106.0,79.0,60.0,0.0,67.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,5.0,5.0
4,5.0,99623.0,108.0,87.0,89.0,1.0,92.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,5.0,5.0
5,6.0,99543.0,114.0,88.0,134.0,1.0,120.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,5.0,5.0
6,7.0,99472.0,121.0,90.0,170.0,1.0,146.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,5.0,5.0
7,8.0,99397.0,124.0,105.0,183.0,3.0,188.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,5.0,5.0
8,9.0,99313.0,140.0,107.0,205.0,3.0,232.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,5.0,5.0
9,10.0,99224.0,161.0,101.0,241.0,3.0,270.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,995.0,70.5336798983294
10,11.0,99111.0,173.0,118.0,267.0,6.0,325.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,55.823326829882,2.7946618548757
11,12.0,98997.0,189.0,127.0,287.0,6.0,393.0,1.0,0.0,0.0,0.0,94.0,0.0,0.0,14.8880396332043,0.632532192813614
12,13.0,98854.0,224.0,153.0,324.0,6.0,436.0,3.0,0.0,0.0,0.0,128.0,0.0,0.0,7.5697278043764,0.285904673299472
13,14.0,98694.0,258.0,174.0,366.0,7.0,497.0,3.0,1.0,1.0,0.0,143.0,0.0,100.0,5.26554763461356,0.176999447451608
14,15.0,98507.0,287.0,210.0,419.0,8.0,564.0,4.0,1.0,0.0,0.0,164.0,0.0,0.0,4.19330520135769,0.126895188037249
15,16.0,98274.0,341.0,245.0,475.0,10.0,650.0,4.0,1.0,0.0,198.0,212.0,39.6,0.0,3.61737821094257,0.0988561356952717
16,17.0,97945.0,409.0,335.0,545.0,11.0,750.0,4.0,1.0,0.0,200.0,297.0,40.0,0.0,2.85961208613639,0.0757264087249965
17,18.0,97514.0,504.0,431.0,650.0,14.0,880.0,5.0,2.0,1.0,155.0,380.0,31.0,0.0,2.507452787475,0.0625107547311988
18,19.0,97025.0,623.0,507.0,784.0,15.0,1039.0,5.0,2.0,0.0,147.0,429.0,29.4,0.5813953488372093,2.37203385991393,0.0548676340595896
19,20.0,96493.0,734.0,607.0,909.0,20.0,1228.0,5.0,4.0,2.0,184.0,465.0,36.8,0.5128205128205128,2.30794385585711,0.0494875107513257
20,21.0,95836.0,838.0,751.0,1099.0,25.0,1441.0,6.0,4.0,0.0,207.0,584.0,41.4,1.3333333333333335,2.2009500331223,0.0444659055278153
21,22.0,95022.0,1045.0,891.0,1310.0,30.0,1689.0,9.0,4.0,0.0,247.0,706.0,49.4,1.4388489208633095,2.06657376250691,0.0398154946460939
22,23.0,94111.0,1230.0,1023.0,1614.0,29.0,1973.0,16.0,4.0,0.0,285.0,815.0,56.99999999999999,0.0,1.92561236389804,0.0357146460077019
