,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
0,1.0,98624.0,995.0,227.0,41.0,0.0,113.0,0.0,0.0,0.0,0.0,409.0,0.0,0.0,0.0,0.0
1,2.0,98074.0,1054.0,427.0,170.0,4.0,271.0,0.0,0.0,0.0,0.0,474.0,0.0,0.0,40.134794441276,1.04786657180827
2,3.0,97478.0,1120.0,557.0,379.0,6.0,459.0,1.0,0.0,0.0,0.0,528.0,0.0,0.0,11.7057522864478,0.260707824466269
3,4.0,96805.0,1184.0,745.0,589.0,11.0,664.0,2.0,0.0,0.0,0.0,581.0,0.0,0.0,7.17884278143838,0.137244957087089
4,5.0,96010.0,1285.0,900.0,857.0,19.0,926.0,3.0,0.0,0.0,0.0,701.0,0.0,0.0,5.26249408127452,0.0892461058064988
5,6.0,95131.0,1413.0,1053.0,1165.0,26.0,1207.0,5.0,0.0,0.0,0.0,766.0,0.0,0.0,4.34940779400825,0.0654212734689802
6,7.0,93852.0,1667.0,1340.0,1539.0,27.0,1564.0,11.0,0.0,0.0,1036.0,1161.0,74.26523297491039,0.0,3.77350724726429,0.0510119756915371
7,8.0,92223.0,2008.0,1706.0,2016.0,41.0,1994.0,12.0,0.0,0.0,430.0,1423.0,92.07708779443254,0.0,2.85314080107286,0.0380249811099193
8,9.0,90562.0,2356.0,1905.0,2567.0,58.0,2540.0,12.0,0.0,0.0,549.0,1418.0,91.19601328903654,0.0,2.54731991528778,0.0315640666602632
9,10.0,88575.0,2784.0,2209.0,3126.0,72.0,3216.0,17.0,1.0,1.0,720.0,1723.0,91.83673469387756,0.3271537622682661,2.33853568000415,0.0272698147529831
10,11.0,86294.0,3224.0,2603.0,3845.0,69.0,3943.0,20.0,2.0,1.0,741.0,2014.0,90.3658536585366,0.0,2.13064274971042,0.0237856583518725
11,12.0,83725.0,3742.0,2970.0,4616.0,93.0,4829.0,23.0,2.0,0.0,943.0,2281.0,93.5515873015873,0.8888888888888888,1.96418743842384,0.0210837610273886
12,13.0,80880.0,4225.0,3460.0,5416.0,109.0,5879.0,28.0,3.0,1.0,1052.0,2488.0,93.17980513728963,0.487012987012987,1.79565841743382,0.0187916343933652
13,14.0,77754.0,4803.0,3833.0,6335.0,129.0,7109.0,33.0,4.0,1.0,1194.0,2707.0,93.42723004694837,0.46511627906976744,1.65053137647182,0.0169439070886688
14,15.0,74415.0,5400.0,4203.0,7328.0,131.0,8475.0,43.0,5.0,1.0,1313.0,2912.0,93.45195729537366,0.12437810945273632,1.5201571237154,0.0154277015379252
15,16.0,70758.0,5999.0,4596.0,8387.0,143.0,10055.0,57.0,5.0,0.0,1390.0,3188.0,92.66666666666666,0.5605381165919282,1.40494244921233,0.0141869960203794
16,17.0,67074.0,6494.0,4854.0,9504.0,160.0,11847.0,61.0,6.0,1.0,1390.0,3219.0,92.66666666666666,0.0,1.30719625484163,0.0131905510603011
17,18.0,63423.0,6972.0,4937.0,10668.0,180.0,13750.0,61.0,9.0,3.0,1396.0,3187.0,93.06666666666666,0.35714285714285715,1.23642581798162,0.0124529905387762
18,19.0,59620.0,7388.0,5135.0,11692.0,196.0,15883.0,77.0,9.0,0.0,1395.0,3322.0,93.0,0.4314063848144953,1.18019826641727,0.0118830641208774
19,20.0,55973.0,7729.0,5221.0,12617.0,220.0,18142.0,86.0,12.0,3.0,1410.0,3221.0,94.0,0.175284837861525,1.13853191066115,0.0114559914438206
20,21.0,52395.0,7885.0,5216.0,13572.0,228.0,20599.0,91.0,14.0,2.0,1414.0,3111.0,94.26666666666668,0.08748906386701663,1.10325911630816,0.0111134579456896
21,22.0,49041.0,7933.0,5086.0,14304.0,256.0,23258.0,104.0,18.0,4.0,1411.0,2932.0,94.06666666666666,0.08650519031141869,1.07324065877854,0.0108369454831004
22,23.0,45767.0,8108.0,4914.0,14992.0,264.0,25826.0,109.0,20.0,2.0,1404.0,2882.0,93.6,0.34423407917383825,1.04562809684058,0.0106041802601746
23,24.0,42736.0,8073.0,4671.0,15537.0,267.0,28573.0,122.0,21.0,1.0,1427.0,2703.0,95.13333333333334,0.42589437819420783,1.02031932823878,0.0104092542509516
24,25.0,40034.0,7939.0,4403.0,15860.0,277.0,31337.0,125.0,25.0,4.0,1402.0,2388.0,93.46666666666668,0.26019080659150046,0.999175180488394,0.0102583423198517
25,26.0,37523.0,7775.0,4067.0,16151.0,285.0,34033.0,137.0,29.0,4.0,1408.0,2241.0,93.86666666666666,0.6938421509106678,0.977233269981701,0.010123101428215
26,27.0,35255.0,7527.0,3798.0,16190.0,284.0,36765.0,148.0,33.0,4.0,1388.0,1997.0,92.53333333333332,0.2546689303904924,0.957403728915288,0.0100159766219726
27,28.0,33256.0,7261.0,3476.0,16202.0,276.0,39334.0,161.0,34.0,1.0,1367.0,1784.0,91.13333333333333,0.35398230088495575,0.934016524911045,0.0099061221642848
28,29.0,31374.0,6925.0,3194.0,16056.0,287.0,41960.0,170.0,34.0,0.0,1326.0,1652.0,88.4,0.34934497816593885,0.915932029819368,0.0098396344166264
29,30.0,29738.0,6503.0,2895.0,15858.0,278.0,44524.0,168.0,36.0,2.0,1289.0,1438.0,85.93333333333332,0.17436791630340018,0.894324230653882,0.0097695146456848
30,31.0,28304.0,6175.0,2580.0,15438.0,263.0,47021.0,180.0,39.0,3.0,1306.0,1277.0,87.06666666666666,0.3646308113035551,0.87907495953001,0.0097482627033983
31,32.0,26963.0,5879.0,2323.0,15018.0,248.0,49332.0,195.0,42.0,3.0,1234.0,1188.0,82.26666666666667,0.46253469010175763,0.858191935205646,0.0097096441046791
32,33.0,25785.0,5517.0,2068.0,14550.0,240.0,51599.0,194.0,47.0,5.0,1226.0,1044.0,81.73333333333333,0.4703668861712135,0.84138441408131,0.0097064152620665
33,34.0,24789.0,5163.0,1830.0,13971.0,212.0,53787.0,197.0,51.0,4.0,1141.0,894.0,76.06666666666668,0.37488284910965325,0.819625580451481,0.0096876771514356
34,35.0,23786.0,4828.0,1734.0,13350.0,210.0,55848.0,185.0,59.0,8.0,1142.0,908.0,76.13333333333333,0.4975124378109453,0.807453878146295,0.0097389684937523
35,36.0,23002.0,4463.0,1520.0,12745.0,202.0,57818.0,187.0,63.0,4.0,1041.0,710.0,69.39999999999999,0.6869479882237487,0.791954845455571,0.0097846798562946
36,37.0,22282.0,4096.0,1342.0,12092.0,189.0,59750.0,181.0,68.0,5.0,1041.0,638.0,69.39999999999999,0.42149631190727077,0.785406354605185,0.0098983327906922
37,38.0,21658.0,3761.0,1193.0,11457.0,171.0,61509.0,181.0,70.0,2.0,986.0,552.0,65.73333333333333,0.322234156820623,0.770862002870235,0.0099734181979184
38,39.0,21090.0,3504.0,1044.0,10802.0,168.0,63151.0,167.0,74.0,4.0,936.0,486.0,62.4,0.5882352941176471,0.754914817787841,0.0100476842037995
39,40.0,20599.0,3181.0,897.0,10219.0,154.0,64705.0,168.0,77.0,3.0,870.0,439.0,57.99999999999999,0.4608294930875576,0.722194680087967,0.0100169647935843
40,41.0,20163.0,2874.0,799.0,9551.0,142.0,66230.0,163.0,78.0,1.0,857.0,374.0,57.13333333333333,0.12285012285012285,0.690256845854456,0.0099984735852333
41,42.0,19771.0,2632.0,692.0,9006.0,131.0,67534.0,153.0,81.0,3.0,819.0,345.0,54.6,0.2631578947368421,0.657723125818035,0.0099896106380734
42,43.0,19428.0,2400.0,605.0,8406.0,118.0,68808.0,149.0,86.0,5.0,786.0,305.0,52.400000000000006,0.5578800557880056,0.623036134704111,0.0099791216776797
43,44.0,19073.0,2197.0,595.0,7819.0,110.0,69980.0,138.0,88.0,2.0,719.0,308.0,47.93333333333333,0.43227665706051877,0.590169810610608,0.0099985705832023
44,45.0,18772.0,2003.0,509.0,7377.0,107.0,71004.0,132.0,96.0,8.0,657.0,262.0,48.13186813186813,0.4424778761061947,0.561000576092872,0.0100677519070869
45,46.0,18512.0,1801.0,464.0,6888.0,99.0,72013.0,124.0,99.0,3.0,489.0,227.0,93.85796545105566,0.45454545454545453,0.543419879620077,0.0102660046454225
46,47.0,18281.0,1654.0,412.0,6393.0,84.0,72954.0,121.0,101.0,2.0,438.0,212.0,92.79661016949152,0.3472222222222222,0.545201033303161,0.0106840566059289
47,48.0,18061.0,1485.0,386.0,5901.0,79.0,73869.0,112.0,107.0,6.0,426.0,197.0,93.42105263157896,0.539568345323741,0.555904611100256,0.0112309691486246
48,49.0,17857.0,1355.0,377.0,5466.0,74.0,74651.0,112.0,108.0,1.0,382.0,186.0,92.49394673123489,1.2224938875305624,0.563023914886537,0.0117731793480231
49,50.0,17698.0,1225.0,308.0,5134.0,73.0,75347.0,103.0,112.0,4.0,372.0,135.0,91.17647058823528,0.0,0.578785940282523,0.0124304924429756
