,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
0,1.0,99876.0,99.0,17.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0
1,2.0,99811.0,100.0,51.0,13.0,0.0,25.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,5.0,5.0
2,3.0,99753.0,108.0,65.0,34.0,1.0,39.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,5.0,5.0
3,4.0,99687.0,115.0,78.0,61.0,1.0,58.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,5.0,5.0
4,5.0,99594.0,132.0,106.0,89.0,2.0,77.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,5.0,5.0
5,6.0,99494.0,145.0,124.0,129.0,2.0,106.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,5.0,5.0
6,7.0,99381.0,160.0,137.0,171.0,5.0,145.0,1.0,0.0,0.0,0.0,99.0,0.0,0.0,5.0,5.0
7,8.0,99252.0,180.0,146.0,220.0,8.0,193.0,0.0,1.0,1.0,0.0,110.0,0.0,100.0,5.0,5.0
8,9.0,99117.0,202.0,182.0,258.0,5.0,234.0,1.0,1.0,0.0,0.0,120.0,0.0,0.0,1285.0,80.156097709407
9,10.0,98955.0,232.0,207.0,312.0,5.0,287.0,1.0,1.0,0.0,0.0,145.0,0.0,0.0,57.1727864153703,2.49522496609502
10,11.0,98783.0,258.0,227.0,371.0,8.0,350.0,2.0,1.0,0.0,0.0,152.0,0.0,0.0,15.8940005583282,0.573152319149859
11,12.0,98593.0,284.0,239.0,441.0,10.0,429.0,3.0,1.0,0.0,0.0,165.0,0.0,0.0,7.3636238597566,0.245046058337015
12,13.0,98381.0,327.0,243.0,516.0,12.0,516.0,4.0,1.0,0.0,0.0,195.0,0.0,0.0,4.63976844439382,0.14373497156723
