Agent_ID,Age,PublicTransport_Jobs,essential_worker,Adherence_to_Intervention,VillTownName,H_Lat,H_Lon,HHID,school_id,WorkPlaceID
1,12,0,0,1.0,some_village,0.15371788,0.6511826,574,3,0
2,66,0,0,0.7,some_village,0.92217755,0.4591515,1423,0,28
3,11,1,0,0.5,some_village,0.49916077,0.23411214,1643,3,0
4,47,0,0,0.6,some_village,0.6593394,0.25975078,290,0,1
5,9,0,0,0.5,some_village,0.8064274,0.50344217,770,6,0
6,70,1,0,0.9,some_village,0.40993714,0.88260466,1684,0,21
7,11,0,0,0.9,some_village,0.5827456,0.14048058,848,2,0
8,72,0,0,0.9,some_village,0.34959275,0.92622375,1880,0,44
9,41,0,0,0.4,some_village,0.67619336,0.011677504,1527,0,46
10,69,0,0,0.6,some_village,0.5832043,0.5245651,359,0,44
11,42,0,0,1.0,some_village,0.22025657,0.8932098,2152,0,13
12,47,0,0,1.0,some_village,0.2504655,0.5751249,2295,0,24
13,11,0,0,0.6,some_village,0.91598517,0.095930815,2435,9,0
14,20,0,0,0.7,some_village,0.93887264,0.79611105,1954,8,0
15,9,0,0,0.6,some_village,0.8399867,0.111992896,2354,4,0
16,54,0,0,0.7,some_village,0.10071629,0.13488501,925,0,41
17,24,0,0,0.2,some_village,0.3957675,0.08529168,453,2,0
18,70,1,0,0.8,some_village,0.39438683,0.41679227,479,0,16
19,14,0,0,0.5,some_village,0.73320395,0.78191787,756,1,0
20,21,0,0,0.5,some_village,0.6850949,0.71599317,2445,4,0
21,72,0,0,0.7,some_village,0.13374448,0.93504137,728,0,7
22,29,0,0,0.5,some_village,0.76931494,0.27272063,554,9,0
23,13,0,0,0.7,some_village,0.58235633,0.19434822,702,5,0
24,36,0,0,0.8,some_village,0.970552,0.96683496,388,0,25
25,55,0,0,0.7,some_village,0.4590162,0.7435005,2361,0,2
26,33,1,1,0.4,some_village,0.41086972,0.8431778,94,0,10
27,42,0,0,0.9,some_village,0.6978638,0.3812657,2219,0,10
28,68,0,0,0.8,some_village,0.39882284,0.057772458,218,0,15
29,55,1,0,0.5,some_village,0.6242558,0.23432022,965,0,34
30,28,1,0,0.9,some_village,0.3597545,0.59619385,2421,9,0
31,74,0,0,0.5,some_village,0.39860022,0.09411299,602,0,25
32,33,0,0,0.7,some_village,0.120729744,0.6748394,218,0,13
33,45,0,1,1.0,some_village,0.7721116,0.027248621,1569,0,23
34,68,0,0,0.5,some_village,0.46832424,0.46919823,778,0,47
35,35,0,0,0.9,some_village,0.6441143,0.103871584,1248,0,20
36,32,0,0,0.9,some_village,0.11947262,0.45138496,202,0,46
37,70,0,1,0.6,some_village,0.53396606,0.9171372,2278,0,36
38,55,0,0,0.5,some_village,0.76141727,0.73670465,1154,0,6
39,54,0,1,1.0,some_village,0.05862516,0.9716508,2329,0,28
40,78,0,0,0.8,some_village,0.124668896,0.72144425,1649,0,48
41,13,0,0,0.8,some_village,0.5539375,0.16955733,1341,2,0
42,20,0,0,0.8,some_village,0.25988096,0.49472904,1166,6,0
43,17,0,0,0.7,some_village,0.8342083,0.24696898,797,8,0
44,28,1,0,0.6,some_village,0.15523553,0.75200754,211,9,0
45,48,0,0,0.9,some_village,0.17956126,0.88888884,328,0,27
46,33,0,0,0.5,some_village,0.77479166,0.6000786,428,0,44
47,43,0,0,0.9,some_village,0.27247423,0.6531232,2026,0,29
48,19,0,0,0.6,some_village,0.4041717,0.7339821,1692,2,0
49,35,0,0,0.5,some_village,0.9689683,0.17221975,1247,0,45
50,69,1,0,0.9,some_village,0.7824527,0.033673227,346,0,38
51,21,0,0,1.0,some_village,0.6263569,0.42500895,2033,4,0
52,53,0,0,0.6,some_village,0.94564646,0.6591622,1823,0,45
53,18,1,0,0.9,some_village,0.91049767,0.9960045,834,1,0
54,40,0,1,0.9,some_village,0.3135751,0.96575505,1328,0,17
55,17,0,0,0.7,some_village,0.17729974,0.602261,2335,8,0
56,17,0,0,0.8,some_village,0.69043976,0.7242484,782,2,0
57,62,1,0,0.8,some_village,0.18782318,0.60670614,1967,0,18
58,49,0,0,0.4,some_village,0.8180256,0.57732487,491,0,5
59,63,0,0,0.8,some_village,0.6585485,0.56881464,421,0,11
60,78,1,0,0.7,some_village,0.52638906,0.49090236,686,0,20
61,50,1,0,1.0,some_village,0.1463154,0.809891,100,0,35
62,12,0,0,0.3,some_village,0.85747516,0.10465807,558,5,0
63,79,1,0,0.9,some_village,0.45622897,0.33937675,1899,0,5
64,27,1,0,0.5,some_village,0.108083606,0.8043025,176,5,0
65,53,0,0,0.6,some_village,0.9365767,0.690783,1459,0,50
66,39,0,0,0.7,some_village,0.23218423,0.8942889,1977,0,39
67,65,0,0,0.7,some_village,0.59041965,0.25664175,2345,0,37
68,28,0,0,0.5,some_village,0.7872499,0.7649998,2062,4,0
69,11,0,0,0.3,some_village,0.6729321,0.90221375,447,3,0
70,73,0,1,1.0,some_village,0.6517205,0.17346811,2145,0,24
71,40,1,0,0.5,some_village,0.17664015,0.9855752,2215,0,8
72,31,1,0,0.7,some_village,0.8505404,0.22006047,1941,0,2
73,29,1,0,0.5,some_village,0.39793396,0.32890487,1524,10,0
74,53,0,0,0.8,some_village,0.71034837,0.21074444,1258,0,38
75,30,0,0,0.7,some_village,0.5708678,0.18672174,517,0,14
76,35,1,0,0.1,some_village,0.5735989,0.5343155,240,0,17
77,38,1,0,0.9,some_village,0.3638758,0.4741876,690,0,13
78,55,0,0,1.0,some_village,0.005530536,0.90530574,1597,0,26
79,54,0,0,0.8,some_village,0.002508521,0.9649841,1012,0,23
80,51,0,0,0.9,some_village,0.62842166,0.32756865,1774,0,6
81,23,1,0,0.6,some_village,0.7021451,0.80367386,2138,1,0
82,73,1,1,0.6,some_village,0.017309248,0.6475774,2146,0,50
83,22,0,0,0.6,some_village,0.20398045,0.17213154,1828,7,0
84,27,0,0,0.8,some_village,0.7363275,0.90035856,58,10,0
85,65,0,0,0.9,some_village,0.09013575,0.3777126,1574,0,10
86,49,1,0,0.7,some_village,0.14058244,0.52276593,1642,0,40
87,25,1,0,0.7,some_village,0.6109153,0.48270392,2003,9,0
88,59,0,0,0.6,some_village,0.3676139,0.3481599,276,0,20
89,19,1,0,0.7,some_village,0.36090636,0.18599409,1884,3,0
90,49,0,1,0.9,some_village,0.16877496,0.78076327,762,0,20
91,5,0,0,0.8,some_village,0.04272759,0.146496,1614,5,0
92,13,0,0,0.7,some_village,0.7898712,0.044999123,609,2,0
93,33,0,0,0.7,some_village,0.048513353,0.57211065,2426,0,4
94,76,0,0,0.5,some_village,0.43792123,0.65871036,915,0,18
95,64,0,1,0.5,some_village,0.79587823,0.137846,2295,0,21
96,60,0,0,0.8,some_village,0.85370296,0.41143727,1555,0,9
97,8,0,0,1.0,some_village,0.0821318,0.19699812,1225,2,0
98,6,0,0,0.9,some_village,0.18118465,0.07483119,1575,7,0
99,55,0,0,0.7,some_village,0.8060242,0.14568716,443,0,40
100,71,0,0,0.9,some_village,0.16388345,0.24182147,1170,0,10
101,58,0,0,0.9,some_village,0.029151082,0.63118166,1107,0,41
102,42,0,0,0.8,some_village,0.84694844,0.31475812,722,0,42
103,53,0,1,0.8,some_village,0.35135406,0.5664372,371,0,5
104,77,0,0,0.7,some_village,0.59901196,0.27063423,2090,0,46
105,79,0,0,0.7,some_village,0.28631723,0.9877907,1179,0,13
106,54,1,0,0.6,some_village,0.9927887,0.5889531,1750,0,31
107,43,0,0,0.1,some_village,0.2989006,0.118032396,710,0,39
108,29,0,0,0.9,some_village,0.5311614,0.6852727,2185,3,0
109,70,0,0,0.7,some_village,0.4658776,0.20439118,1461,0,48
110,28,0,0,0.9,some_village,0.8616029,0.9976081,1576,5,0
111,50,0,0,1.0,some_village,0.2518205,0.6192188,1957,0,14
112,72,0,0,0.5,some_village,0.08561593,0.96455413,1871,0,23
113,45,1,0,1.0,some_village,0.67059255,0.6602046,1199,0,27
114,77,0,1,0.8,some_village,0.58811,0.08941144,50,0,22
115,72,0,0,0.8,some_village,0.04124832,0.17007601,603,0,6
116,22,0,0,0.8,some_village,0.8922028,0.5456974,119,6,0
117,65,0,0,0.9,some_village,0.27045858,0.709356,1812,0,24
118,21,0,0,0.9,some_village,0.6035853,0.32469338,763,5,0
119,7,0,0,1.0,some_village,0.87243056,0.65828234,1659,3,0
120,40,0,0,0.8,some_village,0.3418405,0.8421498,437,0,25
121,48,0,0,0.6,some_village,0.35977268,0.30431628,2323,0,49
122,60,0,0,0.9,some_village,0.79474217,0.6113248,615,0,5
123,78,0,1,0.7,some_village,0.0060516,0.53386354,464,0,2
124,75,1,0,0.5,some_village,0.23401034,0.32396984,761,0,3
125,66,0,0,0.8,some_village,0.9768484,0.91067165,963,0,46
126,17,0,0,0.6,some_village,0.9023016,0.6861479,1133,10,0
127,60,0,0,0.6,some_village,0.7831116,0.8879286,1753,0,49
128,76,1,0,0.3,some_village,0.6427231,0.56616104,422,0,17
129,37,1,0,0.7,some_village,0.47352505,0.36042315,2474,0,4
130,74,1,0,0.6,some_village,0.42162025,0.90259326,1387,0,33
131,64,0,1,0.6,some_village,0.048447013,0.5687476,1763,0,21
132,73,0,0,0.6,some_village,0.70329446,0.5192093,684,0,50
133,13,0,0,0.9,some_village,0.5245537,0.8005129,2376,2,0
134,78,1,0,0.7,some_village,0.3427567,0.6838263,484,0,40
135,32,0,0,0.8,some_village,0.09818113,0.58015263,2404,0,11
136,29,0,0,0.8,some_village,0.07683498,0.13087982,2313,2,0
137,33,0,0,0.4,some_village,0.56901026,0.47892433,523,0,14
138,52,0,0,0.8,some_village,0.44012094,0.6155295,333,0,46
139,28,1,0,0.8,some_village,0.8613652,0.57162327,825,8,0
140,67,0,0,1.0,some_village,0.5815151,0.50847036,2443,0,35
141,25,1,0,0.8,some_village,0.6932734,0.55143815,1829,2,0
142,46,0,0,0.5,some_village,0.06691384,0.5560286,446,0,41
143,7,0,0,0.7,some_village,0.37299782,0.09716666,1292,6,0
144,49,0,1,0.9,some_village,0.7457037,0.9548083,222,0,15
145,54,0,1,0.8,some_village,0.2609501,0.9506035,1162,0,36
146,66,1,0,0.5,some_village,0.23123956,0.59016806,1196,0,42
147,27,1,0,0.5,some_village,0.48613077,0.7937873,1924,4,0
148,8,1,0,0.8,some_village,0.08044362,0.17641252,848,4,0
149,35,0,1,0.9,some_village,0.31921417,0.5435008,280,0,47
150,56,0,0,0.7,some_village,0.0813117,0.37554264,2187,0,46
151,12,0,0,0.6,some_village,0.61627454,0.81628627,114,5,0
152,34,0,1,0.6,some_village,0.38033378,0.17146939,1294,0,42
153,78,1,0,0.6,some_village,0.28801662,0.15191197,509,0,35
154,33,0,0,1.0,some_village,0.03520274,0.022548616,1058,0,16
155,17,0,0,1.0,some_village,0.2183786,0.81480277,1422,6,0
156,42,0,1,0.9,some_village,0.33989668,0.51842076,1680,0,35
